readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.95882928371429443, u'xMag': -27.899994, u'azimuth': 2.0174594879150392, u'zforce': 5.6947574999999997, u'yforce': 8.2665600000000001, u'time': 1413158231.266, u'yMag': -49.5, u'zMag': -15.899994, u'roll': -0.15738033056259154, u'xforce': 0.89154599999999995} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.91419019699096682, u'xMag': -25.5, u'azimuth': 2.0812154293060301, u'zforce': 5.8935440000000003, u'yforce': 7.7257340000000001, u'time': 1413158233.289, u'yMag': -48.299987999999999, u'zMag': -18, u'roll': -0.11161927431821823, u'xforce': 0.63842237000000002} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.74460010528564458, u'xMag': -24.899994, u'azimuth': 2.0499177932739259, u'zforce': 7.2590045999999999, u'yforce': 6.7594934000000002, u'time': 1413158235.313, u'yMag': -42.899994, u'zMag': -27.899994, u'roll': -0.034367119148373607, u'xforce': 0.17318985000000001} 
readSensors data:  {u'light': 225, u'accuracy': 3, u'pitch': -0.67844344377517696, u'xMag': -27.299987999999999, u'azimuth': 2.0084039688110353, u'zforce': 7.5770929999999996, u'yforce': 6.1619362999999998, u'time': 1413158237.369, u'yMag': -40.5, u'zMag': -29.699997, u'roll': -0.050809098035097124, u'xforce': 0.32287856999999998} 
readSensors data:  {u'light': 225, u'accuracy': 3, u'pitch': -0.73319884538650515, u'xMag': -27.899994, u'azimuth': 1.987866473197937, u'zforce': 7.2893914999999998, u'yforce': 6.6228274999999996, u'time': 1413158239.3959999, u'yMag': -42.599989999999998, u'zMag': -28.199997, u'roll': -0.08673561960458756, u'xforce': 0.67374889999999998} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.793890917301178, u'xMag': -31.5, u'azimuth': 1.8396397590637208, u'zforce': 6.8811903000000001, u'yforce': 6.9623217999999998, u'time': 1413158241.45, u'yMag': -41.699997000000003, u'zMag': -27.599989999999998, u'roll': -0.062535374611616137, u'xforce': 0.40820113000000002} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.034939634054899214, u'xMag': -24.599989999999998, u'azimuth': 2.0735563755035402, u'zforce': 9.9360379999999999, u'yforce': 0.37257521999999998, u'time': 1413158243.484, u'yMag': -15, u'zMag': -45.599989999999998, u'roll': -0.0051293156109750273, u'xforce': 0.081580356000000007} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.03423083797097206, u'xMag': -25.5, u'azimuth': 2.0516430377960204, u'zforce': 9.8694269999999999, u'yforce': 0.33769774000000002, u'time': 1413158245.52, u'yMag': -14.699997, u'zMag': -44.099989999999998, u'roll': -0.0054527997970581056, u'xforce': 0.047451325000000003} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.028071358427405359, u'xMag': -25.199997, u'azimuth': 2.0385568618774412, u'zforce': 9.7938340000000004, u'yforce': 0.28590545000000001, u'time': 1413158247.5220001, u'yMag': -13.799988000000001, u'zMag': -45, u'roll': -0.00086262518307194118, u'xforce': 0.0088316339999999997} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.029615659266710281, u'xMag': -25.199997, u'azimuth': 2.0697126865386961, u'zforce': 9.8701740000000004, u'yforce': 0.29862899999999998, u'time': 1413158249.5369999, u'yMag': -14.699997, u'zMag': -44.399994, u'roll': -0.014966284483671188, u'xforce': 0.16016693000000001} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.034201306849718095, u'xMag': -24.899994, u'azimuth': 1.9795946598052978, u'zforce': 9.8701740000000004, u'yforce': 0.33769774000000002, u'time': 1413158251.5840001, u'yMag': -12.299988000000001, u'zMag': -44.699997000000003, u'roll': -0.0012126888614147902, u'xforce': 0.0086819454999999997} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.03618302345275879, u'xMag': -24.599989999999998, u'azimuth': 1.9786455869674682, u'zforce': 9.8321539999999992, u'yforce': 0.34608032999999999, u'time': 1413158253.5969999, u'yMag': -12.299988000000001, u'zMag': -44.399994, u'roll': 0.0030992863699793815, u'xforce': -0.029638366999999999} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.030342094600200653, u'xMag': -25.5, u'azimuth': 1.9643933773040771, u'zforce': 9.8784074999999998, u'yforce': 0.2998265, u'time': 1413158255.677, u'yMag': -12, u'zMag': -43.799987999999999, u'roll': 0.0043943771161139011, u'xforce': -0.043409728000000002} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.030477800592780113, u'xMag': -24.899994, u'azimuth': 1.9855694055557251, u'zforce': 9.945767, u'yforce': 0.29967680000000002, u'time': 1413158257.671, u'yMag': -12.299988000000001, u'zMag': -44.399994, u'roll': -0.0012050847406499087, u'xforce': 0.0086819454999999997} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.030488971248269083, u'xMag': -24.299987999999999, u'azimuth': 1.9784860610961914, u'zforce': 9.7950320000000008, u'yforce': 0.29937743999999999, u'time': 1413158300.148, u'yMag': -12, u'zMag': -45.299987999999999, u'roll': 0.0063376597594469782, u'xforce': -0.033380582999999998} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.028900290653109551, u'xMag': -24.899994, u'azimuth': 1.949295449256897, u'zforce': 9.7854510000000001, u'yforce': 0.29159363999999999, u'time': 1413158302.1700001, u'yMag': -11.399994, u'zMag': -44.399994, u'roll': 0.0011622435893514193, u'xforce': 0.00059875490000000004} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.036287089437246324, u'xMag': -25.5, u'azimuth': 1.9747052907943725, u'zforce': 9.8333510000000004, u'yforce': 0.34114060000000002, u'time': 1413158304.194, u'yMag': -12.899994, u'zMag': -44.099989999999998, u'roll': -0.0027582549009821378, u'xforce': 0.044906616000000003} 
